azstorage,WindowsAzure.Storage,8.0.1,8.1.0,8.1.1
azservicebus,WindowsAzure.ServiceBus,3.4.3,3.4.5,3.4.6
azconfigmanager,Microsoft.WindowsAzure.ConfigurationManager,3.2.0,3.2.1,3.2.3
azkeyvaultcore,Microsoft.Azure.KeyVault.Core,1.0.0,2.0.4,
msrestclientruntime,Microsoft.Rest.ClientRuntime,2.3.3,2.3.4,2.3.5
azcommon,Microsoft.Azure.Common,2.0.4,2.1.0,2.1.1
hyakcommon,Hyak.Common,1.0.3,1.1.0,1.1.1
azdocumentdb,Microsoft.Azure.DocumentDB,1.11.3,1.11.4,1.12.0
azcaching,Microsoft.WindowsAzure.Caching,2.9.0.2,2.9.1,2.9.5
azcommondependencies,Microsoft.Azure.Common.Dependencies,1.0.0
azkeyvault,Microsoft.Azure.KeyVault,1.0.0,2.0.6
redisstateprovider,Microsoft.Web.RedisSessionStateProvider,2.2.1,2.2.2,2.2.3
restclientruntimeaz,Microsoft.Rest.ClientRuntime.Azure,3.3.3,3.3.4,3.3.5
aznotificationhubs,Microsoft.Azure.NotificationHubs,1.0.5,1.0.6,1.0.7
azsearch,Microsoft.Azure.Search,1.1.3,3.0.1,3.0.2
azmobileclient,Microsoft.Azure.Mobile.Client,3.0.2,3.0.3,3.1.0
azasapiappsservice,Microsoft.Azure.AppService.ApiApps.Service,0.9.50,0.9.52,0.9.64
azcommon-legacy,Microsoft.WindowsAzure.Common,1.3.0,1.4.0,1.4.1
azcommondependencies-legacy,Microsoft.WindowsAzure.Common.Dependencies,1.0.1,1.1.0,1.1.1
azmgmtscheduler-legacy,Microsoft.WindowsAzure.Management.Scheduler,6.0.0,6.1.0,6.2.0
azmgmtcompute-legacy,Microsoft.WindowsAzure.Management.Compute,12.7.0,12.8.0,13.0.0
azmgmtstorage,Microsoft.WindowsAzure.Management.Storage,5.1.1,6.0.0,6.0.1
azmcsqllitestore,Microsoft.Azure.Mobile.Client.SQLiteStore,3.0.2,3.0.3,3.1.0
azmgmt,Microsoft.WindowsAzure.Management,4.0.1,4.1.0,4.1.1
azkeyvaultext,Microsoft.Azure.KeyVault.Extensions,1.0.5,2.0.4,2.0.5
azmanagementsql,Microsoft.WindowsAzure.Management.Sql,5.0.0,5.1.0,5.2.0
azdocumentdbtfh,Microsoft.Azure.DocumentDB.TransientFaultHandling,1.3.0,1.4.0,1.5.0
azmgmtwebsites,Microsoft.WindowsAzure.Management.WebSites,3.0.0,3.0.1,4.0.0
azmobileserver,Microsoft.Azure.Mobile.Server,1.0.119,1.1.157.1,2.0.0
azmgmtnetwork,Microsoft.WindowsAzure.Management.Network,7.1.3,8.0.0,8.1.0
azmobileservertables,Microsoft.Azure.Mobile.Server.Tables,1.0.119,1.1.157.1,2.0.0
azmgmtmediaservices,Microsoft.WindowsAzure.Management.MediaServices,3.0.0,4.0.0,4.1.0
azmobileserverauth,Microsoft.Azure.Mobile.Server.Authentication,1.0.119,1.1.157.1,2.0.0
azmobileserverentity,Microsoft.Azure.Mobile.Server.Entity,1.0.119,1.1.157.1,2.0.0
azmgmtmonitoring,Microsoft.WindowsAzure.Management.Monitoring,3.0.0,4.0.0,4.1.0
azmobileserverhome,Microsoft.Azure.Mobile.Server.Home,1.0.119,1.1.157.1,2.0.0
azkeyvaultwebkey,Microsoft.Azure.KeyVault.WebKey,2.0.4
